steamid,personaname,profileurl,time_created,country,state,city
76561198041709585,EyEcarumba,https://steamcommunity.com/profiles/76561198041709585/,Tue May 10 21:54:19 2011,,,
76561198042665686,krAnk0r,https://steamcommunity.com/id/krank0r/,,,,
76561198043897737,Lord Soth,https://steamcommunity.com/profiles/76561198043897737/,Sat Jun 25 00:10:02 2011,United States,,
76561198044296444,Grimm Anfuhrer,https://steamcommunity.com/id/OnlyGrimLeader/,Tue Jun 28 23:00:09 2011,Canada,Alberta,Calgary
76561198044921823,beecon of sin,https://steamcommunity.com/id/shannantics/,Thu Jul  7 23:23:31 2011,United States,,
76561198045397204,BattleRabbit,https://steamcommunity.com/id/thebattlerabbit/,,,,
76561198047017481,LemonIcedTea,https://steamcommunity.com/profiles/76561198047017481/,Tue Aug 16 23:05:52 2011,United States,Washington,Seattle
76561198047064148,LysanderXonora,https://steamcommunity.com/id/LysanderXonora/,Wed Aug 17 04:15:50 2011,Singapore,,
76561198047326411,SinNer,https://steamcommunity.com/profiles/76561198047326411/,Sun Aug 21 11:53:30 2011,Ukraine,Chernivets'ka Oblast',Chernivtsi
76561198048803789,RagePotato,https://steamcommunity.com/id/Rage__Potato/,Fri Sep 16 04:41:41 2011,,,
76561198050299365,Nik,https://steamcommunity.com/profiles/76561198050299365/,Mon Oct 10 02:03:23 2011,United States,Alaska,
76561198052232782,KBBQ,https://steamcommunity.com/id/KBBQ/,,,,
76561198054510400,a love supreme,https://steamcommunity.com/id/crlxzzz/,Thu Dec 15 05:28:26 2011,United Kingdom (Great Britain),"London, City of",
76561198057926018,G-Money,https://steamcommunity.com/profiles/76561198057926018/,Sun Jan 29 14:12:24 2012,United States,Washington,
76561198058006641,Shoon,https://steamcommunity.com/id/gaston6969/,Tue Jan 31 22:27:33 2012,,,
76561198059552165,Poof,https://steamcommunity.com/id/shyann/,,,,
76561198062474921,Nestea,https://steamcommunity.com/profiles/76561198062474921/,Mon Apr 23 22:31:12 2012,,,
76561198062530252,Taintickla`,https://steamcommunity.com/profiles/76561198062530252/,Tue Apr 24 02:47:05 2012,,,
76561198063355221,Kaisermeister,https://steamcommunity.com/profiles/76561198063355221/,Thu May 10 18:00:55 2012,United States,California,
76561198063456625,bey,https://steamcommunity.com/id/beydota/,Sat May 12 23:34:46 2012,,,
76561198064661047,Spark G. Surge (I'm Back!),https://steamcommunity.com/id/TheDeathPact/,Sat Jun  2 19:53:33 2012,,,
76561198065313311,Yolanda,https://steamcommunity.com/profiles/76561198065313311/,Thu Jun 14 18:53:43 2012,Cocos (Keeling) Islands,,
76561198065327639,Billion Bettor,https://steamcommunity.com/id/xudaian/,Thu Jun 14 23:45:53 2012,Canada,Ontario,Toronto
76561198066244263,Scritch the Itch,https://steamcommunity.com/id/scoobityscoo/,Sun Jul  1 00:13:14 2012,United States,Florida,
76561198067067022,AkiraLapin,https://steamcommunity.com/id/akiralapin/,Thu Jul 12 18:17:53 2012,,,
76561198069338695,AvastMeSmarties,https://steamcommunity.com/profiles/76561198069338695/,Tue Aug 14 23:21:30 2012,United States,,
76561198071294395,PICKLE RICK,https://steamcommunity.com/profiles/76561198071294395/,Mon Sep 10 22:41:02 2012,Canada,,
76561198073866781,newb_killer,https://steamcommunity.com/profiles/76561198073866781/,Sat Oct 20 14:27:35 2012,,,
76561198074689746,cheerhex,https://steamcommunity.com/profiles/76561198074689746/,Wed Oct 31 01:32:38 2012,,,
